FlightDate,num_flights,avg_flights_prev_3_days
2019-05-01,20715,NULL
2019-05-02,21281,20715.0000
2019-05-03,21454,20998.0000
2019-05-04,17151,21150.0000
2019-05-05,20588,19962.0000
2019-05-06,21525,19731.0000
2019-05-07,20699,19754.6667
2019-05-08,20968,20937.3333
2019-05-09,21501,21064.0000
2019-05-10,21578,21056.0000
2019-05-11,16886,21349.0000
2019-05-12,20166,19988.3333
2019-05-13,21572,19543.3333
2019-05-14,20748,19541.3333
2019-05-15,21087,20828.6667
2019-05-16,21608,21135.6667
2019-05-17,21660,21147.6667
2019-05-18,17283,21451.6667
2019-05-19,20700,20183.6667
2019-05-20,21649,19881.0000
2019-05-21,20841,19877.3333
2019-05-22,21215,21063.3333
2019-05-23,21680,21235.0000
2019-05-24,21725,21245.3333
2019-05-25,16670,21540.0000
2019-05-26,17301,20025.0000
2019-05-27,20565,18565.3333
2019-05-28,20980,18178.6667
2019-05-29,21193,19615.3333
2019-05-30,21684,20912.6667
2019-05-31,21717,21285.6667
FlightDate,1,21531.3333
